"","MovieName","TrailerLink","youtubeView","youtubeLike","youtubeDisLike","Revenue","FacebookMovieLike","actExp","Budget","Opening_Weekend_Gross","ReleasePeriod","runtime","Screen","Sequel","MPAA_Rating","Genre","ROI","Success"
"1","Saw VII","V1IwmygKN6c",2125320,2518,142,45710178,16053188,82,21720000,25090000,21720000,90,2808,1,1,11000,1.10452016574586,TRUE
"2","Titanic (1997 film)","zCy5WQ9S4c0",12100915,29014,1090,658672302,55961393,16,206200000,29394000,206200000,194,2674,0,10,100100,2.19433706110572,TRUE
"3","Red Dawn (2012 film)","nGoe7BdGdlg",5220148,12320,2290,448067830,363797,13,67015000,14653000,67015000,93,2725,0,10,100000001,5.68608266805939,TRUE
"4","Toy Story 3","JcpWXaA2qeg",7782836,6327,1581,415004880,100834,57,217200000,114220000,217200000,103,4028,1,1000,1010000000,0.910703867403315,TRUE
"5","Iron Man 3","oYSD2VQagc4",1103708,6280,194,409013994,1020536,76,203200000,175000000,203200000,130,4253,1,10,1100000010,1.01286414370079,TRUE
"6","The Hunger Games (film)","FovFG3N_RSU",10117389,24197,1479,408010692,246821,87,80418000,156560000,80418000,142,4137,0,10,1000000010,4.073623964784,TRUE
"7","Frozen (2013 film)","FLzfXQSPBOg",20333476,34911,4425,400738009,24533684,53,152400000,244590,152400000,102,3742,0,100,1010000000,1.62951449475066,TRUE
"8","Finding Nemo","wZdpNglLbt8",1353877,1247,230,380843261,18993433,26,96914000,17128000,96914000,100,2904,0,1000,1010000000,2.92970325236808,TRUE
"9","Despicable Me 2","HwXbtZXjbVE",17998707,46191,4221,368061265,372539,47,77216000,83928000,77216000,98,3997,1,100,10000000,3.7666450606092,TRUE
"10","Alice.in.Wonderland.2010.film.","X9POCgSRVvf0",5124192,9768,518,334191110,15539438,52,217200000,120220000,217200000,108,3728,0,100,1000000000,0.538633103130755,FALSE
"11","Guardians of the Galaxy (film)","d96cjJhvlMA",4042814,17235,571,333176600,3696809,32,170000000,94321000,170000000,121,4080,0,10,1100000010,0.959862352941176,TRUE
"12","Iron Man 2","FNQowwwwYa0",825800,1992,143,312433331,19494258,71,217200000,132670000,217200000,124,4380,1,10,1100000010,0.438459166666667,FALSE
"13","Inception","66TuSJo4dZM",20037230,45208,1306,292576195,11112750,28,173760000,65013000,173760000,148,3792,0,10,100001011,0.68379486072744,FALSE
"14","Man of Steel (film)","KVu3gS7iJu4",39526871,124868,6296,291045518,3949910,15,228600000,117190000,228600000,143,4207,0,10,1100000010,0.273164995625547,FALSE
"15","Gravity (film)","OiTiKOy59o4",14643987,29370,3419,274092705,1241766,46,101600000,56060000,101600000,91,3575,0,10,11,1.69776284448819,TRUE
"16","Monsters University","xBzPioph8CI",8869800,17310,2218,268492764,5307474,58,203200000,82835000,203200000,104,4004,1,1000,1010000000,0.321322657480315,FALSE
"17","Despicable Me","sUkZFetWYY0",11502202,7513,2502,251513985,17263184,37,74934000,58399000,74934000,95,3476,0,100,10000000,2.35647349667708,TRUE
